start	end	text
297220	302100	a votación, sí, sabe? No, no esgelante, quiero comentar que igual se cambió el calendario
302100	310740	de la portulación. Así que igual se le pasó cada uno, un calendario nuevo para las nuevas
310740	317740	peitas. Entonces el calendario se una pequeña muy eficazión, sí, sí, sí, sí, sí.
317740	324500	Así que realmente en lo que en la apestación de la base, la capacitación va a ver
324500	329860	un dicho que se hace a la comunidad. Sí, es que en toda la explicación, entonces
329860	336340	pasaríamos a votación, vamos a ver la votación, o sea, el dommitor palma. Buenas tardes, sí,
336340	345380	a nuevo alcalde. En votación, o sea, o sea, no pasáles. Buenas tardes, sí, que no le pone la ciencia
345380	354340	de una nota y eso equipo, a prueba o alcalde. Buenas tardes, sí, a prueba, alcalde.
354340	361780	Buenas tardes, a prueba. Buenas tardes, a prueba. Buenas tardes, a prueba. Buenas tardes, sí,
361780	370660	con acuerdo con todo el planteado, a prueba. Buenas tardes, el calde y a la comunidad, sí,
370660	377100	a prueba. Yo también, a prueba, entonces, a prueba, una animidad, la muy eficazión va a
377100	382420	ser fondos concursable y se va a informar, oportunamente, los dirigentes, cuando va a hacer
382420	387040	la capacidad, para que pueden participar en este proceso, que les genera por su gasto desde
387040	392400	el municipio. Y desde el tercer consejo, también, oportunidades para que pueden desarrollar
392400	397580	distintas iniciativas, que en este caso estamos hablando de dos se fondos concursable,
397580	403460	sumando de llevanzados por primera vez, en el fondo de, como que el de agua y, brigadas,
403460	408060	encima. Eso es, muchas gracias, ¿suitas lejos?
408060	410460	Ya, el de, pues, ¿cuál es?
410460	418840	La salemos al tema 5, a volver a el tema, luego, te va a tres, ya se la reistegra, entonces,
418840	422980	el consejo acá, lo nabran, la vamos a hacer la palabra, voy a eficazión, pero supuestaria
422980	425380	un municipal número de los es.
425380	430900	Buenas tardes, el calde, Buenas tardes, consejales, consejales y bueno, a toda la comunidad
430900	436080	que nos está viendo a través de las redes sociales. Bueno, la siguiente presentación
436080	442360	modificación presupuestaria número 3 del año 26, donde se solicita lo norable consejo
442360	448040	municipal, la aprobación de los siguientes. Bueno, llegaron la segunda remesas de un proyecto
448040	453100	frir, denominado a construcción, hacer a javier a carrera como una Santa Juana, que ya
453100	458460	se había hecho ante una modificación presupuestaria, y ahora llegó a la segunda remesa.
458460	463380	Bueno, esta está en la cuenta de ingresos municipales que corresponde a la 115, 13,
463380	471060	0, 0, 0, 8, 0, 0, 8, correspondiente a fondo regional de iniciativas frir. Y necesita ser, bueno,
471060	476460	planteada y aprobada para poder ingresar la la cuenta de gastos municipales para
476460	483540	proceder a los respectivos pagos pendientes. La cuenta de 2015, 31, 0, 2, 0, 0, 4, 0, 14,
483540	488540	que es la cuenta de construcción a ser a javier a carrera como una Santa Juana. Esto sin
488540	496100	grreso corresponde al mundo de 39 millones, 300, 1,844 pesos. Así que esa sería la
496100	500540	unificación alcalde que se presenta al consejo municipal.
500540	507740	Sí, de alguna consulta, estaba en las friros sentadas, esto que estoy pertenecer al proyecto
507740	513660	de habitación, javier a carrera y para ingresar la presupuestro y poder considerar también
513660	520500	a la presa que está ayudando a la obra. Vamos a someter la votación, entonces, ¿en
520500	526940	votación de un Victor Palma? Sí, aprobó presidente. ¿Dónguán González?
526940	530060	Aproveciente. Consejada, Anita Salavía.
530060	533100	¿Puedo alcalde? Consejada. No, Fabiente, ¿qué es me?
533100	536740	Aproveo. ¿Dónguán, yo no dañellis? Sí, alcalde, también aproveo.
536740	542620	¿Dónguán, francico, soto? Aproveo alcalde. Yo también aproveo, se aprobó entonces por una
542620	546420	animidad, la magnificación para su que está en el municipal número tres. Muchas gracias
546420	549140	a don, ahora, por la información.
549140	550500	Gracias, muchas gracias.
550500	555540	Pasaríamos el tema de a cinco y por ver consejada resentante en el consejo municipal
555620	562060	de directorio de Aptel, que se va a la palabra. Gracias. Gracias, señora Alcalde.
562060	565100	Salvo a los T, a todos los presentes en estas salas, así hay quienes no escuchan
565100	570780	también a la distancia. Efectivamente, el pasado 24 de abril, eso de las 11 horas,
570780	576060	en las sesiones de la municipalidad y un vel, nos reunimos en una reunión que fue
576060	581620	la roga desde el mes de diciembre, del año pasado, con el fin de conocer alguna
581620	586820	antecedente y ponerlo en trabajo también de cara al 2016 en la sociedad en Andel.
586820	594380	Ya, en esta instancia, por parte de los funcionarios de Andel, domanoel, donorlando, se
594380	598380	entregaron algunos barnesas, algunos antecedentes, el trabajo que se ha venido desarrollando.
598380	603860	En esta instancia, logicamente no ha acompañado en el Alcalde Presidente, de un Rodrigo Montero,
603860	610060	de la Comuna de Florida, también estuvo presente los Alcaldes de Walky, de un velógicamente
610060	615700	que era los dueños de casa, hasta el mismo también estaban consejales de Cabrero, de
615700	620700	Yumberg y de Santa Juana, así también en el Alcalde de Cabrero, que también participó
620700	625140	de esta instancia. En esta ocasión, a parte del informe de gestión y el balance
625140	630420	financiero del 2025, que después inclaró la deduda carrastra al municipio de San Pedro,
630420	634900	con la asociación y que provocó el acuerdo que tuvimos que tomar lo integrante presente
634900	639820	en la Asamblea, que fue ya la exclusión, la expulsión por parte de esta asociación
639820	643140	de la municipalidad de San Pedro, ya que llevaba 2 años, no pagan 2 fotos, y ya se hacía
643140	648220	insostenible el funcionamiento de la entidad, generando algunos vaches presupuestarios
648220	652380	ahí, que eran productos de no pago de sus cuotas, entendemos que también hay que
652380	656100	funcionar, de gestiones que tienen que hacerse, por lo que ya no se podía extender más
656100	660900	esta decisión, así que se tomó un acuerdo un ánime, no poder ya contar con San Pedro
660900	664780	expulsar lo directamente a André, y se estaba teniendo conversaciones con los municipios
664780	669260	de Dome, y de laaja para ver quién se podría integrar a coagar, complementar y mantener
669260	673540	el número de los seis municipios que en base al cálculo que se hace ahí presupuestario
673540	678300	con el aporte de cada una de la municipalidad, y así que en la próxima sesión del directorio
678300	682780	debería entregarse la respuesta por parte de esta municipalidad, esta al menos mostraron
682780	690180	un interés de querer conocer el trabajo, referiente al trabajo propiamente tal,
690180	695700	se entregó un informe de avance de distintos proyectos donde está en número 1, donde se
695700	699900	indica que el Ministerio ha realizado observaciones al EIA y se está en el tercer proceso
699900	705340	de contestación, se peren grésor sistema en el mes de mayo que es el actual mes, en
705340	709860	segundo punto las carpas en reunión con profesionales del Gobierno original, se terminó
709860	714380	preocedimiento de ingreso de proyectos y a circular denta y tres por cada comuna, se entregaron
714380	719060	especificaciones técnicas similares a las realizadas por Pompeo para todas las comunas,
719060	723940	como tercer punto el Gobierno original informa que se reunió con el nuevo SREMDM de
723940	728660	Ambiente, y este mes se dará conocer propuesta para abordar proyectos tipo para estaciones
728660	734220	de transferencias y centros de reciclaje entre otros temas, como punto 4, las solimpiedas se
734220	738940	realizó ingreso de proyectos de su versión directa, el día 15 de octubre del año pasado
738940	744820	la etapa de admisibilidad actualmente se encuentra en proceso de corrección, en 15 puntos sobre
744820	749820	la ferial del se presentó proyecto de feria, por el municipio de la Presidencia de Amdel,
749820	754340	Florida, a través del programa de video vídeo por 120 millones de pesos que actualmente
754340	759300	se encuentra en proceso de revisión, en sexto punto las casés idricas referentes de
759300	764100	tema profesionales del gore de trabajas en propuesta donde no se informó ninguna bán se referente
764100	769420	a la matela. En el séptimo punto de seguridad ciudadana se reviza proyecto de odio más
769420	776420	seguro, donde las comunas de la sesión Amdel bajo el código V415945.000, todavía
776420	780700	dependiente de reunión de trabajo en el área, no se registran a bánse ni respuesta.
780700	784020	En el punto octavo, el programa de apoyas fiestas costumbristas vive video vídeo del
784020	788540	Gobierno original, todos los municipios entregaron sus propuestas, no intercutan bien
788540	793100	ahí dos manuelos. En el noveno punto, el proyecto vio fertilizante para los discultores,
793100	797140	elaborado por el universo del diobío, con la municipalidad de San Pedro y la paz, está
797140	802060	en esta pada de elaboración. Y, en decimos punto, proyectos subderes de capacitación
802060	806340	de novela y de seguridad municipal, ejecutarse en conjunto con el universo del diobío, debe
806340	811700	ser licitado via mercado público por los cuáles entregaran antecedentes próximamente.
811700	816500	También en esta reunión se comentó sobre el trabajo que realizó la sostén en algunas
816500	820820	de las comunas no cumpliendo el acuerdo que había previsto el año pasado de recorrer las
820820	826500	distintas comunas de este territorio para analizar, para poder oficer a las distintas empresas
826500	831260	telefónicas, el estado de la estructura, el funcionamiento de las antenas telefónicas,
831260	835660	afortunadamente si vinieron a Santa Juana, pero tampoco fue una labor muy profunda en ese
835660	842020	momento recordieron de 3 a 4 antenas, solamente, de la empresa en TEL, que fueron entregadas
842020	847700	a través de un informe que llegó a la municipalidad y que en realidad decía que iba a seguir
847700	852140	instruyendo a la distinta de empresas sobre los trabajos de visión, fortuitamente,
852140	856460	o curiosamente en realidad el día que se realizó la fiscalización, la antena funcionaron
856460	862820	óptimas en optimas condiciones, así que deja también hay un espacio a un hecho jocoso
862820	866540	producto de que no estaba ocurriendo esto al menos antes de la fiscalización, pero
866540	871500	hemos que estos se mantengan el tiempo, no obstante, ese indicó nuevamente que se
871500	875580	realizó un trabajo de forma más permanente, más serio, sobre todo con las antenas que
875580	879740	no cuentan con respaldo electrónico, cuando se corta la energía, a las antenas que con un
879740	883700	poco de lluvia dejan de funcionar, y sobre todo también las que han sido desmanteladas,
883700	887860	que Santa Juana tenemos varios de esas, que en realidad no cuentan con nada, se robaron
887860	892500	paneles solares, se robaron batería, así que, prácticamente, no están prestando un servicio
892500	893500	a la comunidad.
893500	897820	Y otro de los aportos que se tomó fue que también se pueden informar a los funcionarios
897820	901820	de la distinta municipalidad de la suciación que pueden hacer uso de la dependencia de
901820	906260	la fiscina, que está ubicada en aurelio o manzana en concepción, en caso de tener que
906260	909580	realizar también alguna labor administrativa, es que tenga que ver con un gestión y
909580	913420	primero en un documento, tener un espacio de trabajo producto de gestiones en la capital
913420	917540	regional, así que también está despacio habilitado para todos los funcionarios socios de
917540	921660	esta suciación, que pueden acercarse también aurelio manzana o en hora de oficina, en
921660	928220	caso de necesitar un espacio para la hora, logicamente ligada al que hacer municipas.
928220	934340	Eso fue el grande rago, lo que se conversó en esta reunión antel, con espera a la próxima
934340	939580	instancia que debería hacer de aquí hago meses en la comunidad de Cabrero.
939580	942140	Eso por mi parte es cálde, muchas gracias.
942140	944100	Muchas gracias, yo de tanto.
944100	949540	Bien, pasamos un sistema 6, cuenta de ir al cálde, por el primer lugar, se
949540	954260	yo dear que el día, primero de mayo, bueno, a partir de día del trabajador, se
954260	960820	toma a nivel mundial, de importante, por supuesto, los derechos de los y las trabajadoras,
960820	967820	ese día también se desarrolló una de varias especial en el día del pastor, ya que
967820	974660	desde el año 2018 se resultía del pastor, en el sentido de un reconocimiento a la
974660	981460	labor pastoral, pero además de la labor en el ámbito social, que cumplió con un
981460	988100	plencierto de los pastórios, hemos visto de muchos de ellos, en el sitio hacer como
988100	994160	el begincés de un ejemplo, también lo que basó en PENCO, en Tome, ahora con el
994160	1001220	16 de este año, las iglesias ha cumplido en la hora social, muy importante, si que
1001220	1009100	en todo este contexto se realizó una ciudad de app, primero de mayo, el día del pastor.
1009100	1016500	También quiero saludar con mucho cariño y gratitud a las conejo madres domínicas, ya que
1016500	1023500	el día domingo pasado se cumplió 90 años desde la llegada de las madres domínicas, asantacuenas
1023500	1033860	y, por supuesto, han educado a varias generaciones y también en el ámbito apoyo en
1033860	1041140	el ámbito de evangelización, lo que son los valores, y también, por supuesto, el tema de
1041140	1048540	formación de materia de estudio, académica, han cumplido un rol tremendamente importante,
1048540	1053940	bueno, ya llegaron el primer que está en vino a PENCO, al segundo año llegaron a Santa
1053940	1062260	Juana, y son partes sin lugar a dudas de los 400 años, nosotros reconociemos también
1062260	1068060	en el área de la universidad y hubo una arrastra, en este caso, en varios reconcibiendo durante
1068060	1073900	el año también, al labor tan importante que ha cumplido las madres domínicas en nuestra
1073900	1075900	comunidad.
1075900	1081500	Y en otra materia, bueno, que no va a aproveitar también de saludar a quienes participaron
1081500	1087180	en la cruz de mayo, este año, y yo diría que un año que ha tenido especial participación,
1087180	1093820	ya que el sector de guayerego es con la Junta de Senos, también el Grupo de personas
1093820	1098820	mayores que ha tenido rayen, también eso son los de mayo, lo mismo hizo el cruz de
1098820	1105420	guazos de Tanaungin, el cruz de guazos de curali, así que fenistar también a organización
1105420	1110260	y que mantienen vivas, una atraición también que no solamente en Santa Párez, pero que
1110260	1115200	parte de la cultura también de nuestro país, así que salvo, cañoso para toda y todos
1115200	1117200	quienes participan de ella.
1117200	1121520	Se está desarrollando, bueno, desde el verano se viene trabajando en la operación invierno,
1121520	1125620	estamos en este momento en un frente de mal tiempo, que se estima que esta noche va a ser
1125620	1132380	bastante agua y con el conviento, esto es operación invierno se estaba haciendo el
1132380	1139320	empieza de, bueno, de sumyeros, de bajas, de la realidad de agua, los pasos públicos
1139320	1145280	también, en esteros, en esteros guani, en esteros de el sector de espígado, que también lo
1145280	1150760	ya he pedido, lo que si no se tienta atrás, lo tanto se ha estado trabajando bastante
1150760	1158040	en esta operación invierno, y formá también que en el día de ayer estuve en Santiago
1158040	1164320	con el una reunión con las superes, su verdadidad es desarrolló regional, en la cual también
1164320	1168240	participó la participó, la diputada, la gente que ha muñosa aquí en la agradezco también
1168240	1174160	por su varios su aporte cierto también de invierno, los temas de Santa Juana, en las
1174160	1179400	sus redes tuvimos viento varios proyectos que van desde infraestructuridad hasta asistencia
1179400	1185360	técnica para poder tener profesionales que nos hay una formunas proyecto, así que eso
1185360	1190600	se está avanzando de algunos compromisas, que deberían salir de el transcurso de las
1190600	1197240	próximas semanas y todavía y también una reunión sostenía en las sus secretarias de
1197240	1201340	sesión del delito, ya que nosotros tenemos convenios con ellos, la idea de poder
1201340	1208800	agilizar, precisamente, con los convenios y los proyectos, ahí tenemos un portal de
1208800	1215120	cámaras desde la legislancia, y viendo también de futuros proyectos en materia de seguridad,
1215120	1220000	porque en la posta en marcha de la ley, de seguridad municipal, que está en una presidencia
1220000	1223760	de agosto, se está esperando lo que en el reglamento, que regula por su vasto, no que
1223760	1228960	es, está en ley, que va, indicamos alguna manera, va a tener una incencia en todos los
1228960	1235000	municipios del país, y una importancia reunión sostenía con los julio monos, que es
1235000	1241600	su secretario de las redes extensiones, con su equipo técnico, donde, bueno, el practamiento
1241600	1245440	es el sistema de los pital de Santa Puanas, esto que está en esta pada de diseño,
1245440	1252400	de ir a poder avanzar a la etapa de ejecución, también la posta de torredorada, la
1252400	1258280	posta de torredorada, digamos, ahí se sumió un compromiso de poder gestionar los recursos
1258280	1263440	para la construcción de la posta, se está viendo si se encanzas, cargos recursos de este
1263440	1267560	nuestro puesto de este año, o del que viene, pero sí hay compromiso ya desde el
1267560	1275120	ministerio de, de que la posta se pueda construir, bueno, el año pasado la posta estuvo en riesgo
1275120	1279600	de la posta de torredor, porque el Ministerio de San Oye Social, su primer agonación
1279600	1284240	no está de acuerdo con la reconstrucción, pero finalmente acá en el servicio de San
1284240	1291760	Oye, se logró destrabar eso, y al nivel misterial, si todavía no recursos van a el Ministerio
1291760	1296840	con el compromiso para el resto, entendiendo que fue un insente, y se tiene que
1296840	1305600	respondir, eso y también bueno, el tema de la ambulancia da avanzada, que eso
1305600	1309760	inicio está bastabarzo, se logró entender hasta el julio de este año y la idea de
1309760	1317960	hacerle construcción, eso también si quedó en estudiar el tema del presupuestario, hospital
1317960	1323560	también que una idea que estamos viendo con el ministerio que el ministerio de la posta
1323560	1328160	del ministerio, es que el sistema de trabajo, que pervidiría cierto que el
1328160	1335120	pesalita es pesalía, es de Santiago, es de la hospital digital también pueden tener
1335120	1341480	nuestros médicos, que trabajen el posta, la colaboración, el línea con medio
1341480	1347520	especialista, eso también lo estamos viendo ahí, y bueno, la idea de poder
1347520	1354280	contar con un especialista en Santa Juana, también lo plantea el tema de la medicina
1354280	1363120	familiar, parte de los temas planteados en el mensal, eso principalmente lo que puedo
1363120	1371280	informar, se ofrece a la palabra, si hago un insente, bueno, vamos a fijarlo, nos
1371280	1378040	hicimos otro, gracias al caldo, bueno, me quiero referir algo que usted lo ha
1378040	1384080	tocado, y la verdad que a medida que uno visita, cierto lugar, lo ofrece mayor
1384080	1390760	necesidad y que tiene que ir al calde con entrega de las casas posas incendios,
1390760	1396560	mayoritariamente me di cuenta que son adultos mayores y muchas veces que vi en solo se
1396560	1403960	lo va a ser que nuevamente un invierno bastante asotador, y ellos todavía están viviendo
1403960	1409320	las casas de emergencia, las casas están terminadas, como casas, ya hace mucho tiempo,
1409320	1415160	pero por distintos temas que tienen que ver básicamente con las entregas sanitarias de
1415160	1420880	las mismas, se han demorado, y la verdad es que da pena porque son mayoritariamente adultos
1420880	1426280	mayores, y lo voy a expresar tal cual cuando tal cual como me lo han dicho, no sé si
1426280	1432280	están esperando que nosotros muramos y lo hagan el velorio en las casas en vez de poder
1432280	1438800	utilizar, y de repente también entregan elementos humanos y técnicos dicen, bueno,
1438800	1443720	si nosotros lo que aspiramos a tener una buena casa que se nos quemó en las mismas condiciones
1443720	1450920	que teníamos antes del incendio, pero con la nueva relamentación de solicitar que tiene
1450920	1457920	que tener agua potable, que obviamente es ideal, pero resulta que por ese elemento, por decir
1457920	1463840	algo, se limita el otro que es el uso de la misma, entonces insistir con esto la nueva
1463840	1468600	autoridad al calde para que de una vez por todas, de una solución, o sea, yo no sé si
1468600	1477640	vamos a esperar años y años, y lo la familia, lo adulto, mayores no pueden utilizar sus
1477640	1485840	casas, lo otro, si bien el invierno, importante el calde de tener presente, el corte
1485840	1496160	y tal de árboles peligroso, por ejemplo aquí es el que Santa Juana, el camino Saruca, ya
1496160	1502800	se torna y no solamente en varios lugares de la común, se torna peligroso, los mismos
1502800	1510920	juntas de vecinos tienen un catástrole de árboles que están en riesgo, tenerlo en consideración,
1510920	1516340	y lo otro al calde también con los adultos mayores, me he encontrado en que hay muchos
1516340	1523880	adultos mayores con enfermedades de base, que debe medicarse todos los días, pero también
1523880	1531500	me di cuenta que a no tener una res de apoyo, muchas veces no tener las competencias de poder
1531500	1540480	leer, de poder ver bien, no llevan justos tratamientos de buena forma, por ejemplo un diabetico,
1540480	1547280	hay uno de ejercicios que yo vi y que de alguna manera me ocupado de algunos, es decir,
1547280	1554520	siempre ello de poderlo ordenar en tomar su remedio, todos los días, no todos tienen la capacidad
1554520	1562700	de ingestarse, por ejemplo, insulina, tienen una vida bastante complicada, sin embargo están
1562700	1569520	recibiendo bien su tratamiento en términos de descripción de medicina, pero la verdad
1569520	1573840	es que a veces lo que se tienen que tomar en la mañana, se los doman en la tarde, se
1573920	1579360	toma las des horas por desconocimiento, muchos de ellos no tienen res de apoyo, tanto
1579360	1586200	así que tampoco llegan a pedir ayuda al municipio, sea que hay un plan de en un momento
1586200	1591240	había un plan de atención a los adultos mayores, pero creo que es algo que debiera
1591240	1598120	mover a abordar como municipio, de qué manera buscamos un profesional que tenga una red
1598120	1604080	que sepa la cantidad de personas de adultos mayores que necesitan, muchos, los que tienen
1604080	1610080	res también de apoyo, sale muy temprano a trabajar y la verdad es que no le puede
1610080	1614480	suministrar los remedios, vacunas, etcétera, y de eso hay muchos adultos mayores que están
1614480	1620920	sufriendo, entonces, mi llamado es analizar esto, hacer un levantamiento en la medida
1620920	1627800	de lo posible, sobre todo por lo menos en este tapa, en el sector urbano, cierto donde
1627800	1633400	nosotros podamos entregar por lo menos este servicio a los adultos mayores, sobre todo
1633400	1638600	aquellos que tienen que es conocido y tienen enfermedades de base y en conjunto hacerlo
1638600	1644320	con el hospital, porque la verdad es que hay está listado completo de las personas que
1644320	1647560	necesitan esta atención, eso es alcalde, muchas gracias.
1648480	1652960	Muchas gracias, José José, José, José, José la Palabra,
1652960	1655920	consejal, ¿dómbito de Palabra y consejala a ni tasa de ensegués?
1655920	1664960	Gracias alcalde, bueno, un incente, dice de relación con la, hay un problema, en la pista
1664960	1670200	derecho, digamos, de la cinco esquina, al mercado de artesinos, la que la calzada
1670200	1676760	ahí está partida, los gitudalmen, los gitudalmenmente, por el medio de ahí, de la
1676760	1683320	pista, y, lógicamente, si bueno, van a venir la lluvia y ese fue grande armada de
1683320	1687840	ese tema, el gustaría, digamos, no sé si lo tienen en el carpeta la municipalidad de
1687840	1694480	postular la repavimentación de esa vida, puesto que así como a la calle se va a partir
1694480	1700880	del medio y la está respuesto a accidente, de la cinco esquina, hacia el mercado
1700880	1707960	gantecino de ser la pista de esa, a aguenta, tiene una partidura al medio de toda la
1707960	1714040	calle de la calle y de una de la calle para el divi, por el divi, eso, gracias alcalde.
1714040	1724120	Gracias alcalde, primero voy a partir con algunos recordatorios de cosas que hemos solicitado,
1724120	1729600	ya sea en comisión, no directamente para recordar el envío por favor de las cosas.
1729600	1737440	Primero, nosotros solicitamos en el consejo pasado un informe respecto de lo que fue altamente
1737440	1743680	difundido en medio de comunicación, por la controloría respecto de que estamos por sobre
1743680	1750240	el promerio de gastos en festividades, no justificadas, eso lo que dice la controloría,
1750240	1754720	señalando que el municipio de Santa Juana tenía un gasto sobrio de 53 millones y el
1754720	1761400	promedio de las comunas era el reo de 31 millones. Eso se pidió en el consejo pasado, lamentablemente
1761400	1766080	no estamos compréable más de audio, entonces la ciudadanía, no lo escucho, pero de todos
1766080	1774280	hemos recordado que está pendiente eso. También recordar que yo pedí en que estaba
1774280	1779520	la ejecución del proyecto Chile en México, en el entendido que, a la año pasado, a mí lo que
1779520	1785560	se me informó fue que ese proyecto había quedado sin funcionamiento dado que la gente
1785560	1790720	se cooperación internacional había no había accedido a la extensión de plazo, no obstante
1790720	1796480	cuando, en transparencia, uno revisa los informes de funcionario no era yo figura todavía que
1796480	1801560	están haciendo gestiones respecto de este proyecto, entonces me queda la duda sigue o no sigue,
1801560	1808040	se por también quedaron de enviarme informe respecto de eso. También y que eso se tocó
1808040	1813080	en comisión de acienda a raíz de el aumento de gasto que se produce con el incremento
1813080	1819480	de la combustible y reforzaba un poco en lo que se vio en la cuenta pública respecto de que
1819480	1824120	los principales ingresos que el municipio tiene vienen del fondo como un municipal y que
1824120	1829360	la mayoría de los gastos o sea el grudo eso se va en un pado de remuniración y con sumos
1829360	1835280	básicos, se solicitó en esa comisión también una propuesta de cómo se puede incrementar
1835280	1840280	los ingresos propios que sería la única día tal vez de nosotros general un poco más
1840280	1845120	de presupuesto que nos permita tener cierta o algura pensando en que también el impacto
1845120	1851600	que va a tener, si se aprobaba la rebaja en el pago de las contribuciones en las comunas
1851600	1857600	que esto es las que aportan al fondo como un municipal, evidentemente eso tiene un impacto
1857600	1862360	en la harca municipales en el momento en que esto se busca si es que no está
1862360	1868080	recordado la ley de presupuesto, eso se lo recorda todavía, ya, ahora como incidente
1868080	1876240	principalmente y único tengo que manifestar las situaciones de inseguridad que se presentan
1876240	1880520	en la comuna, o sea yo creo que para nadie desconocido lo que salió respecto que
1880520	1886560	teníamos acá una extensión del brazo del tren daráua más lo deficaron notificaron
1886560	1892640	como tren del sur, me parece y con hayanamiento simultáneo que se realizaron en la comuna,
1892640	1898680	bueno, eso por un lado ha generado y viene generando cerratos sensación de un alto índice
1898680	1906960	del ritual en la comuna inseguridad sumado también a estos ruidos molesto, motocicleta, autos
1906960	1912800	que han antoniados y que, generalmente, no dejan dormir a los vecinos y vecinas y en ese
1912800	1919600	contexto, quiero pedirle su autorización alcalde para ingresar una propuesta de proyecto
1919600	1925520	a la set-plac que de cuenta de cómo podemos abordar la inseguridad desde una medida
1925520	1931000	no con la tecnología, porque la tecnología usted bien lo dijo está ya en proyecto de
1931000	1936360	poner por tal aumento de cámaras no obstante de mi perspectiva, creo que lo que se en
1936360	1941200	requiere además de eso como complemento es un programa que puede hacer una intervención
1941200	1947280	social, multidisciplinaria que permita que en el territorio ya sea tanto el urbano como el
1947280	1952720	rural se vuelvan a llegar a ese entramado social que permite de una autofórma que los vecinos
1952720	1958560	entre ellos estén alerta, entre ellos puedan darse la confianza también para poder hacer
1958560	1962960	las denuncias porque hoy día sin denuncias tampoco vamos a tener mayor aumento de
1962960	1967520	dotación policial es muy difícil ya hay un estudio nacional, una estadística que dice que
1967520	1973120	hay un difícil del menos 12 mil carabineros en el país, por lo tanto yo creo que es una
1973120	1979760	herramienta que nos podría permitir generar en la población mayor grado de confianza,
1979760	1983800	se puede hacer recuperación de fachadas, se puede hacer recuperación de espacios públicos,
1983800	1988760	se a todo lo que generen en que nosotros como vecinos vecinos nos sentamos de manera más
1988760	1993680	segura en la comunidad, entonces yo tengo una propuesta de proyecto, lo conversé en el
1993680	1999840	gobierno regional con el encargado de seguridad ciudadanas, no Jorge Alvistur, le planteé la idea
1999840	2004720	en general y el me señala que de parte del gobierno regional no habría ningún problema
2004720	2010080	todo lo contrario estarían abiertos a apoyar este tipo de iniciativa, me indica que tienen
2010080	2016560	en este minuto un iniciativa más menos parecía enualpen y aportas de iniciar con un programa
2016560	2021840	también como en esa misma línea en tal cabuano, por lo tanto el ingreso sido si tiene
2021840	2028160	que ser a través de la céspla y una vez que el proyecto llegue ingrese se hace los ajustes
2028160	2034440	lo que significa eso, y finalmente una vez que el listo me decía que están disponibles para
2034440	2039720	financiar y apoyar este tipo de iniciativa, ahora en el entendido que es el municipio,
